Risky Sentences,T/F (Personally),s (a scenario identification or description),p (the probability of that scenario),c(the consequence or evaluation measure of that scenario),T/F
"Solely in the event of termination of the collaboration agreement by Aurigene for our uncured breach, or our termination of the collaboration agreement for convenience, the following will apply to any program that was a licensed program immediately prior to such termination: • our license with respect to any licensed program that is not a terminated program (defined below), either in our entire territory or in countries within our territory outside of the terminated region (defined below), as applicable, shall continue in full force and effect, subject to all terms and conditions of the collaboration agreement, including our payment obligations; • our license with respect to any terminated program, either in our entire territory or in the terminated region, as applicable, shall terminate and revert to Aurigene; • we will grant Aurigene a perpetual, royalty-free (except for pass-through royalties and milestone payments payable by us under licenses to third party patent rights with respect to products developed or commercialized by or on behalf of Aurigene) license, with the right to sublicense, under our relevant patent rights and other technology solely to develop, manufacture and commercialize compounds and products for any terminated program, either in our entire territory or in the terminated region, as applicable.The foregoing license will be non-exclusive with respect to our patent rights and exclusive with respect to our other technology; • we will grant to Aurigene a right of first negotiation, exercisable within 90 days after termination, to obtain an exclusive, royalty-bearing license, with the right to sublicense, under our relevant patent rights solely to develop, manufacture and commercialize compounds and products for any terminated program, either in our entire territory or in the terminated region, as applicable, upon commercially reasonable terms and conditions to be negotiated in good faith by the parties; • we will perform other specified activities and actions reasonably necessary for Aurigene to develop, manufacture and commercialize compounds and products for any terminated program, either in our entire territory or in the terminated region, as applicable; and • the applicable license to Aurigene will survive termination.For purposes of the foregoing, “terminated program” means: (i) in the case of termination of the collaboration agreement in its entirety by Aurigene for our uncured non-diligence breach, any program that was a licensed program immediately prior to such termination, but excluding, except in the case of our uncured material breach of our payment obligations with respect to such licensed program, any such licensed program for which initiation of the first pivotal clinical trial of a product has occurred prior to such termination; (ii) in the case of any termination of the collaboration agreement as to a particular licensed program by Aurigene either for our uncured non diligence breach (to the extent termination as to such licensed program is permitted) or our uncured diligence breach, such licensed program; (iii) in the case of our termination of the collaboration agreement in its entirety for convenience, any program that was a licensed program immediately prior to such termination; or (iv) in the case of our termination of the collaboration agreement as to a particular licensed program for convenience, such licensed program; provided, however, that, in the case of the preceding clauses (iii) and (iv), if our termination of the collaboration agreement in its entirety or as to a particular licensed program for convenience was with respect only to a particular country or subset of countries within the entire territory as applicable, a terminated region, the applicable licensed program(s) shall be considered “terminated program(s)” only in the terminated region but shall remain licensed program(s) in the rest of our territory.We were party to an option and license agreement with ImmuNext.Pursuant to the terms of the option and license agreement, we had an option, exercisable for a specified period as set forth in the option and license agreement, to obtain an exclusive license to develop and commercialize certain VISTA antagonizing compounds, including ImmuNext's lead compound, CI-8993, and products containing these compounds in the field of oncology.",F（合同条款描述，是否属于，不确定，是否存在违约风险）,0,0,0,F
"The Bank has a particular focus in the following loan categories (i) commercial real estate lending, (ii) hospitality lending, (iii) energy lending, and (iv) commercial and industrial lending.Although it is a small segment of the Bank, we also provide consumer lending services to individuals for personal and household purposes, including secured and unsecured term loans and home improvement loans.Consumer lending services include (i) residential real estate loans and mortgage banking services, (ii) personal lines of credit, (iii) loans for the purchase of automobiles, and (iv) other installment loans.The Bank offers deposit banking products, including (i) commercial deposit services, commercial checking, money market, and other deposit accounts, and (ii) retail deposit services such as certificates of deposit, money market accounts, checking accounts, negotiable order of withdrawal accounts, savings accounts, and automated teller machine access.• the development of deep business relationships with our commercial customers and their principals;",F（银行业务的阐述）,1,0,0,F
"We are subject to or affected by international, federal, state and local laws, regulations and policies, which are constantly subject to change.These laws, regulations and policies include regulations applicable to the GDS in the European Union (“EU”), Canada, the United States and other locations.We are subject to the application of data protection and privacy regulations in many of the U.S. states and countries in which we operate, including the General Data Protection Regulation (""GDPR"") in the EU.See ""Risk Factors—Our collection, processing, storage, use and transmission of personal data could give rise to liabilities as a result of governmental regulation, conflicting legal requirements, differing views on data privacy, or security incidents.""We are also subject to prohibitions administered by the Office of Foreign Assets Control (the “OFAC rules”) and other similar global prohibitions, as applicable.",T,1,1,1,T
"Viral Community-Acquired Pneumonia (including COVID-19)Viral pneumonia in adults is most commonly caused by rhinovirus, respiratory syncytial virus (""RSV”) and influenza virus.However, newly emerging viruses (including SARS-CoV-1, SARS-CoV-2, avian influenza A, and H1N1 viruses) have been identified as pathogens contributing to the overall burden of adult viral pneumonia.COVID-19 is an infectious disease caused by SARS-CoV-2, that resulted in a global pandemic, causing millions of hospitalizations and over 6.6 million deaths worldwide as of January 2023 according to the World Health Organization.Excluding the pandemic, there are approximately 350,000 annual viral pneumonia hospitalizations in the U.S., and up to 16 million annual viral pneumonia hospitalizations globally.",F（阐述实时，无法得出对company有什么影响）,1,0,0,F
"The majority of our European  business is written through our Ireland-based carrier, Arch  Insurance (EU) Designated Activity Company (“Arch  Insurance (EU)”), which was authorized in 2011 to provide  mortgage insurance products and services to the European  and U.K. markets.In 2019, Arch LMI Pty Ltd. (“Arch LMI”)  was authorized by the Australian Prudential Regulation  Authority (“APRA”) to write lenders' mortgage insurance on  a direct basis in Australia.We expanded our presence in  Australia in August 2021 by acquiring Westpac Lenders  Mortgage Insurance Limited, another APRA approved writer  of lenders' mortgage insurance, which has since been  renamed Arch Lenders Mortgage Indemnity Ltd. (“Arch  Indemnity”).In December 2022, we converted Arch LMI  into a services company for our Australian LMI operations  and the company relinquished its APRA authorization.See  “Operations—Mortgage Operations” for further details on  our mortgage operations.",F（公司业务描述）,1,0,0,F
"In addition to testing, the work performed at the Company's Research and Development Center continues to fuel product development efforts.The Company's position in the industry is further reinforced by its long-standing leadership role in many key international technical organizations which are charged with the responsibility of establishing industry-wide specifications and performance criteria, including IEEE (Institute of Electrical and Electronics Engineers), CIGRE (Counsiel Internationale des Grands Reseaux Electriques a Haute Tension), and IEC (International Electromechanical Commission).Research and development costs are expensed as incurred.Research and development costs for new products were $5.2 million in 2023, $4.5 million in 2022 and $3.3 million in 2021.Patents and Trademarks The Company applies for patents in the U.S. and other countries, as appropriate, to protect its significant patentable developments.",F（专利保护描述）,0,0,0,F
"5G devices operate over a wide range of frequencies and face challenges related to efficiency, linearity, signal coexistence, signal integrity and form factor.5G architectures are more complex and include Multiple- Input/Multiple-Output (“MIMO”), higher frequencies with wider bandwidths, and new paths featuring carrier aggregation.In addition, mobile device original equipment manufacturers (“OEMs”) are leveraging UWB's precision-location accuracy to enhance functionality with applications that can offer secure remote access, indoor navigation and other functionality.They are also seeking to adopt force-sensing touch sensor technology to enhance human-machine interfaces, create new consumer experiences and advance industrial design.These challenges and the increases in functionality and complexity are driving requirements for high performance and highly integrated RF solutions.",F,0,0,0,F
"We are committed to increasing our market share in the communities we  serve by continuing to leverage available technology, existing branch locations, and new branch locations, and by considering other strategic growth opportunities  throughout Central and Southeastern Pennsylvania, the counties of Wicomico, Charles, Anne Arundel, and Worcester counties in Maryland, Sussex county in Delaware,  Camden and Burlington counties in New Jersey, Spotsylvania county in Virginia, and the cities of Fredericksburg and Reston, Virginia and surrounding areas.The Bank provides traditional lending, deposit gathering and cash services to retail customers, small businesses and nonprofit organizations.We offer a full array of  technology solutions to our clients and continually evaluate new technologies that enhance the customer experience and allow the Bank to operate more efficiently.The Bank does not rely on significant noninterest income growth.The management team has experience running many different product sets and subsidiaries but is  focused on core deposit and loan growth.",T（strategic risk）,1,0,0,F
"By use of this  formula, heat induced changes in the retina are controlled as Endpoint Management simultaneously modulates  the laser power and duration providing linear control over a non-linear process.Our pattern scanning laser technology efficiently delivers large laser patterns reducing treatment time and patient  discomfort during treatment.PASCAL represents an improvement in ophthalmic treatment technology and is  committed to helping physicians deliver effective results for patients.Ophthalmologists choose PASCAL because  of its speed and ease of use.Market Opportunities with Iridex' Technology Solutions  7",F（产品的特点或商业模式）,0,0,0,F
"• 72% (13/18) of patients achieved or maintained transfusion independence.For the 28 patients who were negative for RARA overexpression and who were evaluable for clinical response, the data showed that the overall response rate was 43% (12/28), with a composite complete response rate of 32% (9/28), including seven patients (25%) achieving CR and two patients (7%) achieving CRi.The median time to response was 3.0 months, and the median duration of response was 10.3 months.Tamibarotene in combination with azacitidine was generally well-tolerated with no evidence of increased toxicity relative to either as a single agent, including rates of myelosuppression that were comparable to single agent azacitidine.Tamibarotene in Combination with Venetoclax and Azacitidine At the 64th American Society of Hematology Annual Meeting held in December 2022, we presented data from the safety lead-in portion of our ongoing SELECT-AML-1 Phase 2 trial evaluating tamibarotene in combination with venetoclax and azacitidine in newly diagnosed, unfit patients with AML and RARA gene overexpression.",F（产品的特点或商业模式）,0,0,0,F
"Our 6 Table of Contents customers include individuals, families, teams, and organizations of all sizes, from freelancers and small businesses to Fortune 100 companies.They work across a wide range of industries, including professional services, technology, media, education, industrial, consumer and retail, and financial services.Within companies, our platform is used by all types of teams and functions, including sales, marketing, product, design, engineering, finance, legal, and human resources.Key elements of our platform• Unified home for content.",F（产品的特点或商业模式）,0,0,0,F
"The new Current model allows consumers to enjoy a new level of peace and relaxation with less noise and minimal emissions.Crest's retail prices range from approximately $35,000 to $220,000.Our Aviara portfolio of luxury recreational day boats was designed in-house with the vision to create pleasure crafts that defy compromise.The Aviara brand drew on MasterCraft's legacy of quality.Aviara's boat designs were inspired by four product design principles – Progressive Style, Elevated Control, Modern Comfort and Quality Details.",F（产品的特点或商业模式）,0,0,0,F
"Our SE segment provides solutions and services primarily for CSPs and enterprises that deliver and/or operate  broadband/IP networks (fixed and mobile) supporting voice, video and data services as well as a wide range of  applications.These solutions provide network and application visibility to enable more cost-effective ways to provide  a higher-quality customer experience.Customers  SE customers include similar CSPs, NEMs, government organizations, large corporate customers and storage- segment customers that are served by our NE segment.For further information related to our customers, refer to “Management's Discussion and Analysis of Financial  Condition and Results of Operations” under Item 7 of this Annual Report on Form 10-K.  5 Competition  SE segment competitors include NetScout Systems, Inc., Riverbed Technology, Inc. and Spirent  Communications plc.While we face multiple competitors for each of our product families, we continue to have one  of the broadest portfolios of wireline and wireless monitoring solutions available in the service enablement industry.",T,1,1,1,T
"Automation has long played a role in industrial sectors.The larger industrial automation market has grown significantly by riding the wave of new technology and innovation experienced during Industry 4.0.This consists of a wide range of technology solutions that provide varying levels of automation for critical software control systems and industrial equipment.These components are essential to the operations and growth of global markets such as manufacturing, distribution, transportation, construction, and mining.However, Industry 4.0 has its limitations in industrial autonomy.",F（不知道主语是什么，是描述这一现象还是这个公司）,1,0,0,F
"Qbrexza is applied directly to the skin and is designed to block underarm sweat production by inhibiting sweat gland activation.Qbrexza has Orange Book- listed patents that extend through February of 2033.The PAH market had approximately 450,000 prescriptions in 2023 according to Symphony Health, excluding over-the-counter (“OTC”) clinical strength anti-perspirants.Acne and the Current Standard of Care Acne, also known as acne vulgaris, is a common skin disorder characterized by a blockage of hair follicles, which are clogged with oil and dead skin cells.According to the American Academy of Dermatology (“AAD”), acne is the most common skin condition in the US, affecting up to 50 million individuals annually.",F（内容不完整）,1,0,0,F
"In November 2023, we announced enrollment completion of the first dose cohort  and continued advancement in the dose escalation of the Phase 1 trial in advanced malignancies.We began our research and development activities as a spin-off of Ludwig Cancer Research and have built significant expertise in designing  novel cancer immunotherapies.Our internal research and development team has extensive expertise in tumor immunology, characterization  of immunosuppressive mechanisms in the tumor microenvironment, pharmacology, and translational medicine.We have also built discovery  capabilities to develop both small molecules and antibodies with differentiated and optimized product profiles for targets validated by a strong  scientific rationale.We continue to progress research programs focused on additional targets that complement our TIGIT and adenosine  pathway programs or address additional immunosuppressive pathways.",F,1,0,0,F
"In May 2023, we entered into a license and collaboration agreement with Betta Pharma to collaborate on the development and commercialization of CFT8919 in mainland China, Hong Kong SAR, Macau SAR and Taiwan, with us retaining rights to develop and commercialize CFT8919 in the rest of the world.Additionally in June 2023, the FDA cleared the investigational new drug, or IND, application for CFT8919 and in December 2023, Betta Pharma received clinical trial application, or CTA, clearance for CFT8919 from China's National Medical Product Administration.Beyond these initial product candidates, we are further diversifying our pipeline by developing new degraders against both clinically validated and currently undruggable targets for our own proprietary pipeline and for the pipeline we are developing in collaboration with Merck, Biogen and Roche.We have engineered degraders that have successfully achieved blood-brain barrier penetration in preclinical studies, which is a key step in developing medicines with the potential to treat brain metastases in oncology, as well as in therapeutic areas such neurodegenerative diseases.We also believe there are many therapeutic areas and indications where leveraging our TORPEDO platform to develop novel degraders may be advantageous.",T（对公司有利的消息）,1,0,1,F
"We are striving to  obtain reimbursement coverage for NeXT Personal Dx and NeXT Dx.In January 2024, we received a final Medicare coverage determination for our NeXT  Dx offering, extended retroactively to August 29, 2023.We estimate that approximately half of new solid tumor cancer cases will be diagnosed in patients  covered by Medicare.One of our 2024 goals is to submit for Medicare reimbursement for NeXT Personal Dx upon publication of compelling clinical evidence  in three key indications.Competition Our principal competition comes from commercial and academic organizations using established and new laboratory tests to produce information  that is similar to the information that we generate for our customers.",T,1,0,1,F
"In connection with dispensing for transportation use, we began generating and inventorying sellable credits under the federal Renewable Fuel Standard (referred to as ""D3 RINs"") and the California Low Carbon Fuel Standard (""LCFS"").We began selling D3 RINs in the third quarter of 2023 and began selling LCFS credits using the temporary carbon intensity pathway score of negative 150 in the first quarter of 2024.The individual dairy LCFS scores are under review by the California Air Resources Board (CARB).We are continuing to actively increase our RNG production by constructing additional dairy digesters and pipelines and by engaging in pre-construction development efforts for the contracting, permitting and financing of additional digesters to continue the growth.The following table shows our production and sales of dairy RNG in 2023 and 2022:",T,1,0,1,F
"It is easy to use as all that is required of the patient is that the device be pressed against the chest.2. A smartphone application that receives the ECG signals from the HeartBeam signal collection device.The application has several functions: guiding the patient through the signal collection, asking about symptoms, displaying the status of the data collection including real time signal quality check, and notifying the patient of the plan of action as determined by a physician.In addition, the application will contain HIPAA-compliant video conferencing or text capabilities for the healthcare provider to communicate directly with the patient.3. A cloud-based software system that serves four basic functions: (1) Performing a final check of the ECG signal quality, (2) Synthesizing a 12L ECG from the three measured vector leads, (3) Creating a diagnostic suggestion based on 3D VECG interpretation, risk factors and symptoms and (4) Preparing a summary report for the physician.",F（产品的介绍）,0,0,0,F
"The first generation MGs, lenalidomide (Revlimid®) and pomalidomide (Pomylast®), have had great success in treating hematological malignancies.MGs are small molecules that commandeer the body's normal protein degradation processes by causing proteins to stick to one another thereby inducing selective degradation of cancer-causing proteins.Derived from avadomide, SP-3164 is engineered using DECS (deuterium- enabled chiral switching), a process that replaces hydrogen atoms with deuterium to stabilize the molecule's active enantiomer, resulting in a novel molecular entity with the potential for increased efficacy and improved safety compared to the first generation compound.SP-3164 degrades transcription factors IKZF1 (Ikaros) and IKZF3 (Aiolos), along with other proteins, resulting in both direct anti-cancer activity and immune-modulating properties.SP-3164 has potential in both hematologic and solid tumors and is currently in IND-enabling studies.",F,1,0,0,F
"For our largest accounts, dedicated sales personnel work with the end customer to ensure that our solutions fully address the end customer's timing needs.Our smaller customers can select the optimum timing solution for their needs by working directly with our distributors or by shopping on our online store, SiTimeDirect™.We operate a fabless business model, where we outsource manufacturing to semiconductor industry suppliers, which allows us to focus on, and excel in, the design, marketing, and sales of our products.This model also allows us to operate with lower capital expenditure investment than other semiconductor companies that own fabs.A fabless infrastructure gives us production flexibility and the ability to scale capacity up and down quickly to meet demand.",T(商业模式的优势),1,0,0,F
"P&C Insurance Economy P&C insurance is one of the largest global industries.The U.S. P&C insurance industry alone serviced approximately $775 billion in DWP in 2022.Insurance is a necessity for the majority of businesses and consumers, and, as a result, the P&C insurance industry has seen steady long-term growth.P&C insurers face a number of challenging market dynamics in today's environment, including increasing customer expectations, competition from new entrants and business models, emerging technologies, labor shortages, and cost pressures.Insurers are often reliant on legacy on-premise systems to assist with policy and claims adjustments and processing, which can be inflexible and costly to maintain, challenging their ability to innovate and respond to market dynamics.",T,1,0,1,F
"We have three reportable segments, which have been delineated by location and business area:● Pittsburgh segment: provides services that include the application of AI using its proprietary biobank of 150,000+ tumor samples.Pittsburgh also creates proprietary 3D culture models used in drug development.● Birmingham segment: provides contract services and research focused on solubility improvements, stability studies, and protein production.● Eagan segment: produces the FDA-cleared STREAMWAY System and associated products for automated medical fluid waste management and patient-to-drain medical fluid disposal.",F,0,0,0,F
"This investment builds on $278.0 million, announced in March 2023 and December 2022, already allocated in 2023.In 2021, Washington State invested $328.0 million over the five following years to fight wildfires.While this level of commitment is unique, it is reflective of the increased awareness across many levels of government and private entities that wildfire risk has entered a new era of severity.Given our long-standing customer relationships with governmental bodies, we have an opportunity to fulfill this increased demand for firefighting services driven by longer and more severe fire seasons.We view the increased demand as a means to further government agency ties and to capitalize on new aircraft investments.",T,1,1,1,T
"We believe these production lines will  have the ability to meet our current and expected near-term demand for V-Go. Additional CMOs in China perform release testing, sterilization, inspection  and packaging functions.V-Go is assembled from components that are manufactured to our specifications.Each completed device is tested to ensure compliance with our  engineering and quality assurance specifications.A series of automated inspection checks, including x-ray assessments and lot-released testing, are also  conducted throughout the manufacturing process to verify proper assembly and functionality.When mechanical components are sourced from outside  vendors, those vendors must meet our detailed qualification and process control requirements.",T,1,1,1,T
"Nephrologists see patients with kidney disease, who have a higher frequency of cardiac and vascular diseases.Wound care centers need to know the adequacy of limb perfusion.We expect that each physician will have many patient visits annually from people older than 50 years.While it is standard practice to ask about symptoms of cardiac and vascular diseases and to look for signs on physical exam, we believe that it is often the case in busy practices that the questions go unasked.Generally speaking, individual products are not specifically approved by name under a third-party payor code.",F（内容不够）,1,0,0,F
"Our licensed content has initial terms ranging predominately from 3 to 10 years.With the growth in demand for digital rights, we expect that our large library of  produced and acquired content combined with our internal production capabilities, live events and community will be a key driver in our ability to grow efficiently  and act as a hedge against the rising costs of digital rights.The strength of our proprietary content library created by our original content production strategy and our unique approach to content  licensing have provided us with a library of niche content to which we hold exclusive worldwide distribution rights that we believe would be difficult to acquire in  today's market.By obtaining these rights, we have created a meaningful barrier to entry for competitors in our content niches and have given ourselves the potential to  reach a worldwide member base with no additional licensing costs.Over 98% of our titles are available worldwide.",T,1,1,1,T
"Many of these changes have occurred as a result of Dodd-Frank and its  implementing regulations, most of which are now in place.While the regulatory environment has recently been in a period of rebalancing the  post financial crisis framework, the Bancorp expects that its business will remain subject to extensive regulation and supervision.The EGRRCPA amended various sections of Dodd-Frank, including section 165, which was revised to raise the asset thresholds for  determining the application of enhanced prudential standards for BHCs.The EGRRCPA's increased asset thresholds took effect immediately  for BHCs with total consolidated assets less than $100 billion, with the exception of risk committee requirements, which now apply to  publicly-traded BHCs with $50 billion or more of consolidated assets.BHCs with consolidated assets between $100 billion and $250 billion,  including the Bancorp, were subject to the enhanced prudential standards that applied to them before enactment of EGRRCPA until  December 31, 2019, when rules adopted by the FRB that tailor the applicability of enhanced prudential standards and capital and liquidity  requirements for BHCs with $100 billion or more in total consolidated assets became effective, as described in detail below.",T,1,0,0,F
"The Bank's locations are easily accessible and provide convenient services to businesses and individuals  throughout our market area.These areas are all considered “bedroom” or “commuter” communities to Manhattan.Our market area is well-served by a network of arterial roadways, including Route  440 and the New Jersey Turnpike.Our market area has a high level of commercial business activity.Businesses are concentrated in the service sector and retail trade areas.",T,1,0,1,F
"To calculate our SAM and TAM, we extrapolate these survey results across the general population ages 18 and older in each region.5 Our SAM consists of the portion of individuals surveyed who said they have made at least one creative project in categories addressed by our current products each month in the last 12 months, whom we call “active creatives.”Our TAM includes the individuals in our SAM as well as the portion of individuals surveyed who said they like, buy, used to make or are interested in creating personalized, handmade or custom items, whom we call “potential creatives” but who have not made at least one creative project in categories addressed by our current products in the last 12 months.We assess our SAM and TAM in the United States and Canada and internationally.Today, a small portion of our revenue is generated from countries outside the United States and Canada.",F,0,0,0,F
"We are also continuing to consider trials in Sanfilippo Syndrome and are seeking more natural history data based on the guidance from regulatory agencies.In March 2023, we announced that in order to focus the majority of our resources on the ongoing Phase II study of SLS-002 (intranasal racemic ketamine) for ASIB in patients with MDD and the fully enrolled Phase II/III study of SLS-005 in ALS, we have temporarily paused additional enrollment of patients in the SLS-005-302 study in SCA.Patients already enrolled will continue in the study and data will continue to be collected in order to make decisions for resuming enrollment in the future.This temporary pause has been implemented as a business decision due to financial considerations and is not based on any data related to safety or therapeutic effects.SLS-004 is an all-in-one lentiviral vector, targeted for gene editing through DNA methylation within intron 1 of the synuclein alpha (""SNCA”) gene that expresses alpha-synuclein (""α-synuclein”) protein.",T,1,0,1,F
"With our Phase 1b data,  we believe zelnecirnon has potential clinical translatability in a variety of inflammatory diseases beyond AD and have initiated a Phase 2a  clinical trial of zelnecirnon in patients with asthma.Our goal is to develop zelnecirnon in multiple inflammatory diseases, including AD,  asthma and potentially COPD, CSU, alopecia areata, prurigo nodularis, CRSwNP, allergic rhinitis and eosinophilic esophagitis.• Advance tivumecirnon through clinical development in non-small cell lung cancer and potentially other cancers.We believe our Phase  2 data for tivumecirnon in combination with anti-PD1 therapy in checkpoint-naïve NSCLC patients are encouraging and warrant further  development.Our goal is to expeditiously progress into registrational trials to ultimately enable treatment of NSCLC and potentially other  cancer patients for whom current treatments are inadequate.",F,1,0,1,F
"Cumulatively, we are the  largest financial contributor to the five primary pediatric orthopedic surgical societies that conduct pediatric  10 OrthoPediatrics Annual Report 2023 |  15 clinical education and research.We are a major sponsor of continuing medical education, or CME, courses in  pediatric spine and pediatric orthopedics, which are focused on fellows and young surgeons.In 2023, we  conducted numerous training workshops.We believe these workshops help surgeons recognize our  commitment to their field.We believe our commitment to clinical education has helped to increase our account  presence while promoting familiarity with our products and loyalty among fellows and young surgeons.",F,1,0,0,F
"The work conducted under this Sponsored Research Agreement has produced a new mesylate salt of WP1244 termed WP1874.We believe the enhanced solubility of this salt may increase its ability to be formulated for use in an IV infusion, while maintaining similar potency and toxicity characteristics.As such, WP1874 will be the primary focus in any development efforts of the WP1244 portfolio.This agreement was extended and expired on March 31, 2023.Market for Cancer Drugs and Berubicin",F,1,1,1,T
